1|JOB01|job1.bat|2015-03-18 14:20:10.000|2015-03-18 14:21:10.000|1||0|localhost|2015|ABC|2015-03-18 14:20:10.000|2015-03-18 14:21:10.000
1|JOB02|job2.bat|2015-03-18 14:21:11.000|2015-03-18 14:22:10.000|1||1|localhost|2015|DEF|2015-03-18 14:21:11.000|2015-03-18 14:22:10.000
1|JOB03|job2.bat|2015-03-18 14:21:11.000|2015-03-18 14:22:11.000|1||1|dcserver|2015|GHI|2015-03-18 14:21:11.000|2015-03-18 14:22:11.000
1|JOB04|job4.bat|2015-03-18 14:22:12.000|2015-03-18 14:22:15.000|1||0|localhost|2015|NORMAL|2015-03-18 14:22:12.000|2015-03-18 14:22:15.000
2|XJOB|xjob.bat|2015-03-18 15:20:10.000||0|||localhost|2015||2015-03-18 14:20:10.000|2015-03-18 14:21:10.000
3|ABENDJOB|jobX.bat|2015-03-18 16:20:10.000|2015-03-18 16:30:10.000|9||12|localhost|2015|Disconnected|2015-03-18 16:20:10.000|2015-03-18 16:30:10.000
4|最適化|vacuum.vbs|2015-03-18 17:20:10.000|2015-03-18 17:22:15.000|2||4|localhost|2015|0 row(s)|2015-03-18 17:20:10.000|2015-03-18 17:22:15.000
4|バックアップ|bkup.ps1|2015-03-18 17:22:15.000|2015-03-18 17:25:10.000|2||0|localhost|2015|successful!|2015-03-18 17:22:15.000|2015-03-18 17:25:10.000
5|JOB01|job1.bat|2015-03-19 14:20:10.000|2015-03-19 14:21:10.000|1||0|localhost|2015|ABC|2015-03-19 14:20:10.000|2015-03-18 14:21:10.000
5|JOB02|job2.bat|2015-03-19 14:21:11.000|2015-03-19 14:22:10.000|1||1|localhost|2015|DEF|2015-03-19 14:21:11.000|2015-03-18 14:22:10.000
5|JOB03|job2.bat|2015-03-19 14:21:11.000|2015-03-19 14:22:11.000|1||1|dcserver|2015|GHI|2015-03-19 14:21:11.000|2015-03-18 14:22:11.000
5|JOB04|job4.bat|2015-03-19 14:22:12.000|2015-03-19 14:22:15.000|1||0|localhost|2015|NORMAL|2015-03-19 14:22:12.000|2015-03-18 14:22:15.000
